attack,group,parameter_name,parameter_symbol,parameter_value,psnr_watermarked_vs_attacked,accuracy,ber,predicted_ones,threshold,blocks_used,available_blocks,start_x,start_y,phase_sign
contrast,pixel_value,alpha,α,0.7,16.050314961407036,0.9285714285714286,0.0714285714285714,98,-5.345116710353537e-17,49,49,5,8,-1
contrast,pixel_value,alpha,α,0.8,19.544534811919895,0.9285714285714286,0.0714285714285714,98,4.694595406862234e-17,49,49,5,8,-1
contrast,pixel_value,alpha,α,0.9,25.41342846670019,0.9285714285714286,0.0714285714285714,98,4.163336342344337e-17,49,49,5,8,-1
contrast,pixel_value,alpha,α,1,inf,0.9285714285714286,0.0714285714285714,98,0.0,49,49,5,8,-1
contrast,pixel_value,alpha,α,1.1,25.96443193820523,0.9285714285714286,0.0714285714285714,98,0.0,49,49,5,8,-1
contrast,pixel_value,alpha,α,1.2,19.836369959029504,0.9183673469387755,0.08163265306122447,98,6.331740687315346e-17,49,49,5,8,-1
contrast,pixel_value,alpha,α,1.3,16.571902009215034,0.9081632653061225,0.09183673469387754,98,0.0,49,49,5,8,-1
rot_rest,geometric,angle_deg,φ,0,inf,0.9285714285714286,0.0714285714285714,98,0.0,49,49,5,8,-1
rot_rest,geometric,angle_deg,φ,7,36.131764782382575,0.8877551020408163,0.11224489795918369,98,6.852157730108388e-17,49,49,5,8,-1
rot_rest,geometric,angle_deg,φ,14,36.3282080583486,0.8877551020408163,0.11224489795918369,98,-6.765421556309548e-17,49,49,5,8,-1
rot_rest,geometric,angle_deg,φ,21,36.43387580175058,0.8877551020408163,0.11224489795918369,98,6.895525817007808e-17,49,49,5,8,-1
rot_rest,geometric,angle_deg,φ,28,36.57277592866923,0.9183673469387755,0.08163265306122447,98,0.0,49,49,5,8,-1
rot_rest,geometric,angle_deg,φ,35,36.67272068008582,0.8979591836734694,0.10204081632653061,98,-6.987683001669076e-17,49,49,5,8,-1
rot_rest,geometric,angle_deg,φ,42,36.67089616479997,0.8979591836734694,0.10204081632653061,98,0.0,49,49,5,8,-1
rotation,geometric,angle_deg,φ,1,21.157258287394782,0.5102040816326531,0.4897959183673469,98,0.0,49,49,5,8,-1
rotation,geometric,angle_deg,φ,9.9,12.456479002471198,0.5306122448979592,0.4693877551020408,98,0.0,49,49,5,8,-1
rotation,geometric,angle_deg,φ,18.8,11.2850050455876,0.5204081632653061,0.47959183673469385,98,0.0,49,49,5,8,-1
rotation,geometric,angle_deg,φ,27.7,10.794946036157873,0.5612244897959183,0.4387755102040817,98,0.0,49,49,5,8,-1
rotation,geometric,angle_deg,φ,36.6,10.52302859052137,0.4897959183673469,0.5102040816326531,98,-5.204170427930421e-18,49,49,5,8,-1
rotation,geometric,angle_deg,φ,45.5,10.447693417824127,0.5102040816326531,0.4897959183673469,98,-5.204170427930421e-18,49,49,5,8,-1
rotation,geometric,angle_deg,φ,54.4,10.28057385103699,0.47959183673469385,0.5204081632653061,98,0.0,49,49,5,8,-1
rotation,geometric,angle_deg,φ,63.3,10.183932468652836,0.5510204081632653,0.44897959183673475,98,-8.673617379884035e-18,49,49,5,8,-1
rotation,geometric,angle_deg,φ,72.2,10.425881690834755,0.5612244897959183,0.4387755102040817,98,0.0,49,49,5,8,-1
rotation,geometric,angle_deg,φ,81.1,10.6737848200314,0.5714285714285714,0.4285714285714286,98,-4.607859233063394e-18,49,49,5,8,-1
rotation,geometric,angle_deg,φ,90,11.168037891695583,0.4897959183673469,0.5102040816326531,98,1.5178830414797062e-18,49,49,5,8,-1
scale_rest,geometric,scale_factor,k,0.55,29.718829766648028,0.6428571428571429,0.3571428571428571,98,0.0,49,49,5,8,-1
scale_rest,geometric,scale_factor,k,0.7,27.058546269514476,0.7346938775510204,0.26530612244897955,98,2.2551405187698492e-17,49,49,5,8,-1
scale_rest,geometric,scale_factor,k,0.85,36.327665508829284,0.8775510204081632,0.12244897959183676,98,0.0,49,49,5,8,-1
scale_rest,geometric,scale_factor,k,1,inf,0.9285714285714286,0.0714285714285714,98,0.0,49,49,5,8,-1
scale_rest,geometric,scale_factor,k,1.15,38.364309282193226,0.9081632653061225,0.09183673469387754,98,0.0,49,49,5,8,-1
scale_rest,geometric,scale_factor,k,1.3,38.523695313334635,0.8877551020408163,0.11224489795918369,98,0.0,49,49,5,8,-1
scale_rest,geometric,scale_factor,k,1.45,38.591724500103076,0.8979591836734694,0.10204081632653061,98,0.0,49,49,5,8,-1
scale,geometric,scale_factor,k,0.55,6.770898228291935,0.5204081632653061,0.47959183673469385,98,0.0,49,49,5,8,-1
